Country Name;Country Code;Indicator Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Column1
Bangladesh;BGD;GDP per capita (current US$);8,90352E+14;9,75953E+14;1,00122E+14;1,01901E+14;1,00221E+14;1,06647E+14;1,12665E+14;1,22871E+14;1,22848E+14;1,35147E+14;1,40003E+14;1,33551E+14;9,43817E+13;1,1956E+14;1,8202E+14;2,77571E+14;1,41197E+14;1,31373E+14;1,76034E+12;2,0077E+14;2,27752E+14;2,4765E+14;2,20719E+14;2,04418E+14;2,13997E+14;2,45454E+14;2,33658E+14;2,53974E+14;2,707E+14;2,85829E+14;3,06269E+14;2,9316E+14;2,93645E+14;3,00556E+14;2,99533E+14;3,29424E+14;3,94717E+14;4,01499E+14;4,07429E+14;4,09543E+14;4,18069E+14;4,15034E+14;4,1308E+14;4,46311E+14;4,75292E+14;4,99462E+14;5,0964E+14;5,58052E+14;6,34987E+14;7,02264E+14;7,81154E+14;8,61762E+14;8,83117E+14;9,81861E+14;1,11887E+14;1,24845E+14;1,67895E+14;1,83958E+14;1,99148E+14;2,15423E+14;2,27035E+14;2,50304E+14;
Bulgaria;BGR;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;2,2388E+14;2,23481E+14;2,169E+14;1,85281E+14;1,96357E+14;1,91455E+14;2,26043E+13;3,1323E+14;2,51139E+14;2,47702E+13;2,36653E+14;1,26773E+14;1,21198E+14;1,27825E+14;1,14849E+13;2,25829E+14;1,4701E+14;1,36139E+13;1,82041E+14;1,65972E+14;1,62124E+14;1,77091E+14;2,09296E+14;2,7195E+14;3,38971E+14;3,89991E+14;4,52305E+13;5,8851E+14;7,26574E+14;6,98823E+14;6,853E+14;7,84917E+14;7,43248E+14;7,68193E+14;7,90179E+14;7,07468E+14;7,56948E+14;8,36629E+14;9,4467E+14;9,87927E+14;1,00792E+14;1,1635E+14;
Bahrain;BHR;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;8,53772E+14;9,26927E+14;9,44608E+14;9,42136E+13;9,59054E+14;8,70677E+14;7,04163E+14;7,55493E+14;7,95875E+14;8,031E+13;8,52905E+14;9,05564E+13;9,08283E+14;9,69815E+14;1,01304E+14;1,0377E+13;1,05448E+14;1,06722E+14;1,00763E+14;1,04016E+14;1,36364E+14;1,28682E+14;1,30499E+14;1,4222E+14;1,58465E+14;1,79594E+14;1,93075E+14;2,09764E+13;2,30665E+14;1,93559E+14;2,07221E+14;2,25142E+13;2,36544E+14;2,47443E+13;2,49894E+13;2,26341E+14;2,26085E+14;2,37429E+14;2,40863E+14;2,35524E+14;2,04065E+14;2,22323E+14;
Bahamas, The;BHS;GDP per capita (current US$);1,55027E+14;1,65132E+14;1,75284E+14;1,86701E+13;1,99444E+14;2,14474E+14;2,32271E+14;2,55663E+14;2,80433E+14;3,21515E+14;3,17886E+14;3,29741E+14;3,32222E+14;3,69603E+13;3,41644E+14;3,15625E+14;3,32862E+14;3,61745E+14;4,13139E+14;5,53325E+14;6,34079E+14;6,62499E+14;7,16816E+14;7,69808E+14;8,87771E+14;9,89304E+14;1,03443E+14;1,11566E+14;1,13877E+13;1,21634E+14;1,23562E+14;1,19198E+14;1,16867E+14;1,14069E+13;1,18144E+14;1,22386E+14;1,27086E+14;2,20361E+14;2,35142E+14;2,613E+14;2,70982E+14;2,74862E+14;2,88671E+14;2,83278E+14;2,8396E+14;3,02794E+14;3,07138E+14;3,14723E+14;3,06273E+14;2,85525E+14;2,84439E+14;2,80059E+14;2,94859E+14;2,87688E+14;3,01547E+14;3,16994E+14;3,13148E+13;3,2371E+14;3,30774E+14;3,38723E+14;2,46651E+14;2,82394E+14;
Bosnia and Herzegovina;BIH;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,19013E+14;4,87477E+14;7,401E+14;9,82802E+14;1,10239E+14;1,25175E+14;1,48418E+14;1,5446E+14;1,78986E+14;2,25895E+14;2,69847E+14;2,9806E+14;3,41651E+14;4,19337E+14;5,09095E+14;4,71469E+14;4,63551E+13;5,09255E+14;4,77707E+14;5,12966E+13;5,33036E+14;4,72969E+14;4,99497E+14;5,39427E+14;6,07035E+14;6,11976E+14;6,08237E+14;6,91644E+14;
Belarus;BLR;GDP per capita (current US$);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,12477E+14;1,76574E+14;1,66761E+14;1,59009E+14;1,46007E+14;1,3707E+14;1,45251E+13;1,39644E+14;1,51133E+14;1,21061E+13;12762880341;1,24437E+14;1,47931E+14;1,81977E+14;2,37862E+14;3,12581E+14;3,84743E+14;4,73566E+14;6,37737E+14;5,35258E+13;6,03369E+13;6,52717E+14;6,95313E+14;7,99813E+14;8,3414E+14;5,96705E+14;5,03968E+14;5,78567E+14;6,36006E+14;6,83772E+14;6,55543E+14;7,3037E+14;
Belize;BLZ;GDP per capita (current US$);3,04904E+13;3,16414E+14;3,271E+14;3,36938E+14;3,51161E+14;3,77591E+14;4,06094E+14;4,20376E+14;3,8694E+14;3,96628E+14;4,35683E+14;4,74437E+14;5,19555E+14;6,05933E+14;7,86081E+14;8,85958E+14;7,17061E+14;8,58822E+14;9,80752E+14;1,07429E+14;1,37322E+14;1,32877E+14;1,20279E+14;1,23285E+14;1,33704E+14;1,28939E+14;1,36604E+14;1,61233E+14;1,788E+14;2,01195E+13;2,19716E+14;2,32672E+14;2,66853E+14;2,83469E+14;2,88215E+14;2,99776E+14;3,00318E+14;2,95423E+14;2,99303E+13;3,0661E+14;3,36449E+14;3,41709E+14;3,55312E+14;3,67715E+14;3,82493E+14;3,91636E+14;4,15719E+14;4,2909E+14;4,40838E+14;4,197E+14;4,30411E+14;4,44174E+14;4,5306E+14;4,57568E+14;4,74411E+14;4,8052E+14;4,87767E+14;4,9096E+14;4,92719E+14;4,98334E+14;3,9878E+14;4,42049E+13;
Bermuda;BMU;GDP per capita (current US$);1,9024E+14;1,96154E+13;2,02039E+14;2,02027E+13;2,19973E+14;2,28222E+14;2,63085E+14;2,98275E+13;2,83019E+14;3,0537E+13;3,38727E+14;3,8663E+14;4,34317E+14;5,00929E+13;5,85393E+14;6,50943E+14;7,26128E+14;8,37079E+14;8,87687E+14;9,61338E+14;1,12182E+14;1,3426E+14;1,41662E+14;1,5902E+14;1,74698E+14;1,82695E+14;2,04507E+14;2,24118E+14;2,42532E+14;2,55179E+14;2,68415E+14;2,77003E+14;2,86697E+14;3,09007E+14;3,14761E+14;3,39897E+14;4,48268E+14;4,84789E+14;5,13717E+14;5,42455E+13;5,62842E+14;5,8884E+14;6,25831E+14;6,61117E+14;7,03593E+14;7,5882E+14;9,52219E+14;1,04287E+14;1,06935E+14;1,01408E+14;1,01875E+13;9,77742E+14;9,84319E+14;9,94716E+14;9,84677E+13;1,02006E+13;1,06886E+14;1,11821E+14;1,13051E+13;1,16153E+14;1,07706E+14;1,10869E+14;
Bolivia;BOL;GDP per capita (current US$);1,02238E+14;1,09061E+14;1,16925E+14;1,23429E+14;1,36312E+14;1,4964E+14;1,62326E+14;1,79583E+14;1,9963E+14;2,11797E+14;2,26807E+14;2,39127E+14;2,68584E+14;2,63893E+14;4,29298E+14;4,80804E+14;5,34273E+14;6,17307E+13;7,03135E+14;8,09412E+14;8,1318E+14;1,03414E+14;9,62124E+14;9,14011E+14;1,01905E+14;8,70186E+14;6,27564E+14;6,74853E+14;6,98692E+14;7,01666E+14;7,0906E+13;7,62078E+14;7,88152E+14;7,84191E+13;8,01046E+14;8,80993E+14;9,50856E+13;9,98516E+14;1,0495E+14;1,00339E+14;9,97582E+14;9,4887E+14;9,04226E+14;9,07537E+14;9,67406E+14;1,03431E+14;1,21887E+14;1,37263E+14;1,71521E+14;1,75421E+14;1,95546E+12;2,34634E+13;2,60988E+14;2,9082E+12;3,08188E+14;3,03597E+14;3,07666E+14;3,35112E+14;3,54859E+14;3,55207E+14;3,13799E+14;3,41489E+14;
Brazil;BRA;GDP per capita (current US$);2,35947E+14;2,32481E+14;2,51348E+14;2,95632E+14;2,58605E+14;2,69456E+14;3,30041E+14;3,53111E+14;3,75391E+14;4,00787E+14;4,45024E+13;5,01317E+14;5,85171E+14;8,17452E+14;1,0486E+14;1,20507E+14;1,3951E+14;1,56854E+14;1,73972E+14;1,87768E+14;1,9669E+14;2,088E+13;2,1448E+14;1,46511E+14;1,42268E+14;1,30198E+14;1,5631E+14;1,68582E+14;1,802E+14;2,37157E+14;2,62226E+14;2,25924E+14;2,12751E+14;2,34809E+14;3,29524E+14;4,74839E+14;5,16616E+14;5,28205E+14;5,08708E+14;3,47984E+14;3,74991E+14;3,16025E+14;2,83949E+14;3,07044E+14;3,63731E+13;4,79046E+14;5,88639E+14;7,34819E+14;8,83118E+14;8,59779E+14;1,12861E+13;1,32454E+13;1,23702E+14;1,23004E+14;1,21128E+14;8,81399E+14;8,71006E+14;9,92868E+14;9,15138E+14;8,87606E+14;6,81488E+14;7,51883E+14;
