DATE,CODE,CODE-2,MEAN,CLASSIFICATION
2016,BGR,BG,11.810683856804172,0.0
2016,BHR,BH,138.5,3.0
2016,BIH,BA,45.91979166666667,0.6666666666666666
2016,BOL,BO,21.55827441738675,0.0
2016,BRA,BR,16.33529346239901,0.16666666666666666
2016,CAN,CA,10.646316478210595,0.16666666666666666
2016,CHE,CH,9.070297196892941,0.0
2016,CHL,CL,26.23809746767736,0.6666666666666666
2016,CHN,CN,39.1033752435732,0.8333333333333334
2016,COL,CO,43.23174390962512,0.8333333333333334
2016,CYP,CY,21.897322029184775,0.16666666666666666
2016,CZE,CZ,22.186365079365082,0.2
2016,DEU,DE,17.88669223696066,0.16666666666666666
2016,DNK,DK,17.380944780332786,0.16666666666666666
2016,ECU,EC,21.737729171528056,0.16666666666666666
2016,ESP,ES,13.670527628199016,0.16666666666666666
